Day,Number of Bicycle Hires
26/11/2019,26982
25/11/2019,25722
24/11/2019,15599
23/11/2019,14904
22/11/2019,24865
21/11/2019,27064
20/11/2019,29437
19/11/2019,28760
18/11/2019,28521
17/11/2019,18082
16/11/2019,18553
15/11/2019,21318
14/11/2019,28649
13/11/2019,29661
12/11/2019,27391
11/11/2019,28080
10/11/2019,18491
09/11/2019,12350
08/11/2019,26194
07/11/2019,30244
06/11/2019,30745
05/11/2019,31016
04/11/2019,29198
03/11/2019,18356
02/11/2019,14557
01/11/2019,25128
31/10/2019,30951
30/10/2019,32157
29/10/2019,31225
28/10/2019,30208
27/10/2019,22155
26/10/2019,14397
25/10/2019,28988
24/10/2019,23489
23/10/2019,31786
22/10/2019,33916
21/10/2019,24215
20/10/2019,20545
19/10/2019,25400
18/10/2019,29675
17/10/2019,30259
16/10/2019,30763
15/10/2019,34372
14/10/2019,22519
13/10/2019,16040
12/10/2019,10047
11/10/2019,25222
10/10/2019,35641
09/10/2019,34874
08/10/2019,32894
07/10/2019,28418
06/10/2019,21690
05/10/2019,26578
04/10/2019,32314
03/10/2019,32707
02/10/2019,33923
01/10/2019,24631
30/09/2019,27787
29/09/2019,15478
28/09/2019,24960
27/09/2019,29557
26/09/2019,28976
25/09/2019,32427
24/09/2019,21563
23/09/2019,30941
22/09/2019,24154
21/09/2019,36479
20/09/2019,37699
19/09/2019,38271
18/09/2019,38751
17/09/2019,39025
16/09/2019,32747
15/09/2019,33698
14/09/2019,34966
13/09/2019,37354
12/09/2019,38252
11/09/2019,35787
10/09/2019,36814
09/09/2019,29440
08/09/2019,27969
07/09/2019,28038
06/09/2019,31798
05/09/2019,36722
04/09/2019,33933
03/09/2019,37229
02/09/2019,35280
01/09/2019,29486
31/08/2019,30847
30/08/2019,37147
29/08/2019,38337
28/08/2019,36576
27/08/2019,37597
26/08/2019,33150
25/08/2019,31355
24/08/2019,30776
23/08/2019,35995
22/08/2019,38056
21/08/2019,38251
20/08/2019,39255
19/08/2019,33048
18/08/2019,24122
17/08/2019,29360
16/08/2019,23388
15/08/2019,38018
14/08/2019,19154
13/08/2019,39534
12/08/2019,29570
11/08/2019,29952
10/08/2019,25956
09/08/2019,30719
08/08/2019,40667
07/08/2019,37776
06/08/2019,39369
05/08/2019,34041
04/08/2019,34341
03/08/2019,39388
02/08/2019,38278
01/08/2019,39898
31/07/2019,38299
30/07/2019,27449
29/07/2019,41472
28/07/2019,29319
27/07/2019,19950
26/07/2019,31517
25/07/2019,39323
24/07/2019,42296
23/07/2019,44457
22/07/2019,40842
21/07/2019,33251
20/07/2019,31351
